nuts_2,country,year,urban_pop_10k,n_cities_10k,largest_city,largest_city_pop,urban_pop_5k,national_urb_ratio,national_total_pop_k,total_pop_est_k,confidence
ITC3,IT,1850,172.0,5,Genova,128.0,197.0,0.2512264922,24460.0,684.6411717720907,high
ITC3,IT,1900,561.0,7,Genova,378.0,575.0,0.3387681159,33672.0,1656.0000002054503,high
ITC4,IT,1500,270.0,8,Milano,100.0,300.0,0.2453333333,10500.0,1100.5434784104,high
ITC4,IT,1550,294.0,9,Milano,110.0,317.0,0.25961323155000005,11800.0,1132.4538362112612,high
ITC4,IT,1600,322.0,10,Milano,120.0,338.0,0.2738931298,13100.0,1175.6410255165151,high
ITC4,IT,1650,297.0,9,Milano,122.0,322.0,0.3255454545,11000.0,912.3149959386086,high
ITC4,IT,1700,286.0,8,Milano,125.0,327.0,0.2736090226,13300.0,1045.2871666374647,high
ITC4,IT,1750,296.0,9,Milano,124.0,329.0,0.2782666667,15000.0,1063.727838875931,high
ITC4,IT,1800,326.0,11,Milano,135.0,350.0,0.2583684211,19000.0,1261.7641065113896,high
ITC4,IT,1850,457.0,12,Milano,209.0,482.0,0.2512264922,24460.0,1819.0756715107295,high
ITC4,IT,1900,1029.0,14,Milano,538.0,1037.0,0.3387681159,33672.0,3037.475936205719,high
ITF1,IT,1500,10.0,1,Aquila,10.0,29.0,0.2453333333,10500.0,40.76086957075555,high
ITF1,IT,1550,0.0,0,,0.0,37.0,0.25961323155000005,11800.0,,low_no_large_city
ITF1,IT,1600,20.0,2,Chieti,10.0,51.0,0.2738931298,13100.0,73.02118170910032,high
ITF1,IT,1650,10.0,1,Lanciano,10.0,44.0,0.3255454545,11000.0,30.717676630929585,high
ITF1,IT,1700,11.0,1,Lanciano,11.0,55.0,0.2736090226,13300.0,40.20335256297941,high
ITF1,IT,1750,21.0,2,Lanciano,11.0,73.0,0.2782666667,15000.0,75.4671777580897,high
ITF1,IT,1800,49.0,4,Aquila,14.0,109.0,0.2583684211,19000.0,189.6516601811598,high
ITF1,IT,1850,89.0,7,Chieti,17.0,152.0,0.2512264922,24460.0,354.2620016727679,high
ITF1,IT,1900,258.0,15,Aquila,44.0,258.0,0.3387681159,33672.0,761.5828877950199,high
ITF2,IT,1500,0.0,0,,0.0,6.0,0.2453333333,10500.0,,low_no_large_city
ITF2,IT,1550,0.0,0,,0.0,24.0,0.25961323155000005,11800.0,,low_no_large_city
ITF2,IT,1600,0.0,0,,0.0,29.0,0.2738931298,13100.0,,low_no_large_city
ITF2,IT,1650,10.0,1,San Severo,10.0,41.0,0.3255454545,11000.0,30.717676630929585,high
ITF2,IT,1700,12.0,1,San Severo,12.0,53.0,0.2736090226,13300.0,43.85820279597754,high
ITF2,IT,1750,24.0,2,San Severo,13.0,71.0,0.2782666667,15000.0,86.24820315210252,high
ITF2,IT,1800,49.0,4,San Severo,16.0,102.0,0.2583684211,19000.0,189.6516601811598,high
ITF2,IT,1850,116.0,8,Foggia,27.0,145.0,0.2512264922,24460.0,461.7347437532705,high
ITF2,IT,1900,176.0,8,Foggia,53.0,212.0,0.3387681159,33672.0,519.5294118291608,high
ITF3,IT,1500,125.0,1,Napoli,125.0,155.0,0.2453333333,10500.0,509.51086963444436,high
ITF3,IT,1550,185.0,1,Napoli,185.0,239.0,0.25961323155000005,11800.0,712.5985023778345,high
ITF3,IT,1600,306.0,4,Napoli,275.0,361.0,0.2738931298,13100.0,1117.2240801492349,high
ITF3,IT,1650,308.0,3,Napoli,287.0,391.0,0.3255454545,11000.0,946.1044402326312,high
ITF3,IT,1700,333.0,4,Napoli,300.0,439.0,0.2736090226,13300.0,1217.0651275883768,high
ITF3,IT,1750,418.0,8,Napoli,339.0,541.0,0.2782666667,15000.0,1502.1562048991188,high
ITF3,IT,1800,597.0,14,Napoli,430.0,738.0,0.2583684211,19000.0,2310.6539005745385,high
ITF3,IT,1850,700.0,22,Napoli,409.0,816.0,0.2512264922,24460.0,2786.330350235253,high
ITF3,IT,1900,1192.0,29,Napoli,621.0,1259.0,0.3387681159,33672.0,3518.6310164793167,high
ITF4,IT,1500,37.0,3,Lecce,15.0,86.0,0.2453333333,10500.0,150.81521741179554,high
ITF4,IT,1550,58.0,4,Lecce,21.0,151.0,0.25961323155000005,11800.0,223.4092602049427,high
ITF4,IT,1600,123.0,8,Lecce,30.0,216.0,0.2738931298,13100.0,449.08026751096696,high
ITF4,IT,1650,100.0,7,Lecce,20.0,203.0,0.3255454545,11000.0,307.17676630929583,high
ITF4,IT,1700,103.0,8,Bari,18.0,213.0,0.2736090226,13300.0,376.4495739988072,high
ITF4,IT,1750,120.0,9,Altamura,16.0,243.0,0.2782666667,15000.0,431.2410157605126,high
ITF4,IT,1800,210.0,16,Altamura,18.0,296.0,0.2583684211,19000.0,812.7928293478277,high
ITF4,IT,1850,353.0,21,Bari,34.0,407.0,0.2512264922,24460.0,1405.1065909043489,high
ITF4,IT,1900,652.0,26,Bari,64.0,668.0,0.3387681159,33672.0,1924.6203210943913,high
ITF5,IT,1500,10.0,1,Gravina,10.0,28.0,0.2453333333,10500.0,40.76086957075555,high
